"zeitpunkt","bruttolastgang","status"
"2023-01-01T00:00",57102.305112,"F"
"2023-01-01T00:15",59722.609023,"F"
"2023-01-01T00:30",58720.140762,"F"
"2023-01-01T00:45",57964.866867,"F"
"2023-01-01T01:00",57223.089072,"F"
"2023-01-01T01:15",56639.276656,"F"
"2023-01-01T01:30",55892.865589,"F"
"2023-01-01T01:45",55060.933997,"F"
"2023-01-01T02:00",54381.953600,"F"
"2023-01-01T02:15",56670.990662,"F"
"2023-01-01T02:30",55633.490450,"F"
"2023-01-01T02:45",54726.487973,"F"
"2023-01-01T03:00",54126.108875,"F"
"2023-01-01T03:15",53370.426544,"F"
"2023-01-01T03:30",52807.498443,"F"
"2023-01-01T03:45",52032.285340,"F"
"2023-01-01T04:00",51702.033940,"F"
"2023-01-01T04:15",51692.446950,"F"
"2023-01-01T04:30",51115.824584,"F"
"2023-01-01T04:45",50134.575043,"F"
"2023-01-01T05:00",49846.654717,"F"
"2023-01-01T05:15",50520.833656,"F"
"2023-01-01T05:30",50943.730241,"F"
"2023-01-01T05:45",51132.996945,"F"
"2023-01-01T06:00",51097.485572,"F"
"2023-01-01T06:15",51961.007019,"F"
"2023-01-01T06:30",51918.991353,"F"
"2023-01-01T06:45",52141.427851,"F"
"2023-01-01T07:00",52160.399553,"F"
"2023-01-01T07:15",52774.398625,"F"
"2023-01-01T07:30",53148.804067,"F"
"2023-01-01T07:45",53357.098141,"F"
"2023-01-01T08:00",53893.840033,"F"
"2023-01-01T08:15",54222.691963,"F"
"2023-01-01T08:30",54583.624959,"F"
"2023-01-01T08:45",55135.246811,"F"
"2023-01-01T09:00",55490.519126,"F"
"2023-01-01T09:15",55685.432767,"F"
"2023-01-01T09:30",56304.160717,"F"
"2023-01-01T09:45",56778.110749,"F"
"2023-01-01T10:00",57634.081744,"F"
"2023-01-01T10:15",58401.401135,"F"
"2023-01-01T10:30",59325.423378,"F"
"2023-01-01T10:45",59819.245989,"F"
"2023-01-01T11:00",60047.071226,"F"
"2023-01-01T11:15",60778.571501,"F"
"2023-01-01T11:30",60940.126575,"F"
"2023-01-01T11:45",61254.912049,"F"
"2023-01-01T12:00",62053.760725,"F"
"2023-01-01T12:15",62222.321073,"F"
"2023-01-01T12:30",62269.982832,"F"
"2023-01-01T12:45",62645.237934,"F"
"2023-01-01T13:00",62489.297181,"F"
"2023-01-01T13:15",62549.272060,"F"
"2023-01-01T13:30",62420.181525,"F"
"2023-01-01T13:45",62046.988102,"F"
"2023-01-01T14:00",62151.479250,"F"
"2023-01-01T14:15",62112.335974,"F"
"2023-01-01T14:30",62088.535941,"F"
"2023-01-01T14:45",61685.861292,"F"
"2023-01-01T15:00",61577.554209,"F"
"2023-01-01T15:15",61529.265300,"F"
"2023-01-01T15:30",61582.378699,"F"
"2023-01-01T15:45",61742.033324,"F"
"2023-01-01T16:00",62144.471218,"F"
"2023-01-01T16:15",62753.707004,"F"
"2023-01-01T16:30",63379.984624,"F"
"2023-01-01T16:45",64363.383770,"F"
"2023-01-01T17:00",66285.114311,"F"
"2023-01-01T17:15",68048.439213,"F"
"2023-01-01T17:30",68953.341749,"F"
"2023-01-01T17:45",70372.288242,"F"
"2023-01-01T18:00",71294.589440,"F"
"2023-01-01T18:15",71481.759346,"F"
"2023-01-01T18:30",71946.519298,"F"
"2023-01-01T18:45",71908.677679,"F"
"2023-01-01T19:00",71527.925660,"F"
"2023-01-01T19:15",70821.993696,"F"
"2023-01-01T19:30",69971.887853,"F"
"2023-01-01T19:45",69251.506262,"F"
"2023-01-01T20:00",68892.929176,"F"
"2023-01-01T20:15",68312.109657,"F"
"2023-01-01T20:30",67405.584642,"F"
"2023-01-01T20:45",66819.053261,"F"
"2023-01-01T21:00",65935.798166,"F"
"2023-01-01T21:15",65291.574968,"F"
"2023-01-01T21:30",64628.943804,"F"
"2023-01-01T21:45",63778.258874,"F"
"2023-01-01T22:00",63055.338806,"F"
"2023-01-01T22:15",61866.924924,"F"
"2023-01-01T22:30",60958.176827,"F"
"2023-01-01T22:45",60174.045122,"F"
"2023-01-01T23:00",59198.822561,"F"
"2023-01-01T23:15",57996.057954,"F"
"2023-01-01T23:30",56707.444905,"F"
"2023-01-01T23:45",55619.910224,"F"
"2023-01-02T00:00",54935.754970,"F"
"2023-01-02T00:15",54355.120976,"F"
"2023-01-02T00:30",53625.679749,"F"
"2023-01-02T00:45",52984.313299,"F"
"2023-01-02T01:00",52134.505734,"F"
"2023-01-02T01:15",51373.441041,"F"
"2023-01-02T01:30",50622.509544,"F"
"2023-01-02T01:45",49872.218041,"F"
"2023-01-02T02:00",49098.041577,"F"
"2023-01-02T02:15",49117.087507,"F"
"2023-01-02T02:30",48757.517903,"F"
"2023-01-02T02:45",48558.454403,"F"
"2023-01-02T03:00",48168.530466,"F"
"2023-01-02T03:15",48305.609445,"F"
"2023-01-02T03:30",48018.379300,"F"
"2023-01-02T03:45",48185.642941,"F"
"2023-01-02T04:00",48376.562274,"F"
"2023-01-02T04:15",49014.286216,"F"
"2023-01-02T04:30",49018.019177,"F"
"2023-01-02T04:45",49078.544977,"F"
"2023-01-02T05:00",49740.181677,"F"
"2023-01-02T05:15",51202.445773,"F"
"2023-01-02T05:30",52269.361813,"F"
"2023-01-02T05:45",53231.816579,"F"
"2023-01-02T06:00",53794.506041,"F"
"2023-01-02T06:15",55858.721180,"F"
"2023-01-02T06:30",56699.575474,"F"
"2023-01-02T06:45",57586.349069,"F"
"2023-01-02T07:00",58470.700025,"F"
"2023-01-02T07:15",59771.238763,"F"
"2023-01-02T07:30",60545.168500,"F"
"2023-01-02T07:45",61190.469879,"F"
"2023-01-02T08:00",62285.381283,"F"
"2023-01-02T08:15",62893.505156,"F"
"2023-01-02T08:30",63738.027110,"F"
"2023-01-02T08:45",64629.858399,"F"
"2023-01-02T09:00",65426.526630,"F"
"2023-01-02T09:15",66571.813889,"F"
"2023-01-02T09:30",67399.135314,"F"
"2023-01-02T09:45",68175.203677,"F"
"2023-01-02T10:00",69646.685477,"F"
"2023-01-02T10:15",70510.228594,"F"
"2023-01-02T10:30",71256.937423,"F"
"2023-01-02T10:45",71442.112482,"F"
"2023-01-02T11:00",71579.864890,"F"
"2023-01-02T11:15",71493.120273,"F"
"2023-01-02T11:30",72071.315335,"F"
"2023-01-02T11:45",72605.114275,"F"
"2023-01-02T12:00",73318.573547,"F"
"2023-01-02T12:15",73727.774584,"F"
"2023-01-02T12:30",73974.734498,"F"
"2023-01-02T12:45",74153.792490,"F"
"2023-01-02T13:00",74086.774190,"F"
"2023-01-02T13:15",73798.149568,"F"
"2023-01-02T13:30",72457.481245,"F"
"2023-01-02T13:45",71801.216543,"F"
"2023-01-02T14:00",71866.384529,"F"
"2023-01-02T14:15",72051.031063,"F"
"2023-01-02T14:30",71904.990592,"F"
"2023-01-02T14:45",71584.294609,"F"
"2023-01-02T15:00",71291.702177,"F"
"2023-01-02T15:15",71364.631830,"F"
"2023-01-02T15:30",71113.270701,"F"
"2023-01-02T15:45",71162.346243,"F"
"2023-01-02T16:00",71721.456844,"F"
"2023-01-02T16:15",72241.511598,"F"
"2023-01-02T16:30",72878.026016,"F"
"2023-01-02T16:45",73503.847438,"F"
"2023-01-02T17:00",75157.163363,"F"
"2023-01-02T17:15",75909.300126,"F"
"2023-01-02T17:30",76928.940843,"F"
"2023-01-02T17:45",77887.956914,"F"
"2023-01-02T18:00",78701.543553,"F"
"2023-01-02T18:15",78925.469864,"F"
"2023-01-02T18:30",78956.444749,"F"
"2023-01-02T18:45",78687.635731,"F"
"2023-01-02T19:00",78373.137519,"F"
"2023-01-02T19:15",77190.313662,"F"
"2023-01-02T19:30",76386.921592,"F"
"2023-01-02T19:45",75378.396945,"F"
"2023-01-02T20:00",74210.871771,"F"
"2023-01-02T20:15",72655.256415,"F"
"2023-01-02T20:30",71046.420783,"F"
"2023-01-02T20:45",70212.793764,"F"
"2023-01-02T21:00",69524.595509,"F"
"2023-01-02T21:15",68203.926584,"F"
"2023-01-02T21:30",66882.344126,"F"
"2023-01-02T21:45",65937.544769,"F"
"2023-01-02T22:00",64970.258704,"F"
