"zeitpunkt","bruttolastgang_kwh"
"2022-01-01T00:15:00+01:00",11513.395
"2022-01-01T00:30:00+01:00",11532.542
"2022-01-01T00:45:00+01:00",13138.754
"2022-01-01T01:00:00+01:00",12935.207
"2022-01-01T01:15:00+01:00",12545.459
"2022-01-01T01:30:00+01:00",12037.672
"2022-01-01T01:45:00+01:00",11803.980
"2022-01-01T02:00:00+01:00",11580.305
"2022-01-01T02:15:00+01:00",12719.765
"2022-01-01T02:30:00+01:00",12397.884
"2022-01-01T02:45:00+01:00",11911.149
"2022-01-01T03:00:00+01:00",11639.512
"2022-01-01T03:15:00+01:00",11473.898
"2022-01-01T03:30:00+01:00",11103.945
"2022-01-01T03:45:00+01:00",10831.614
"2022-01-01T04:00:00+01:00",10616.760
"2022-01-01T04:15:00+01:00",10548.723
"2022-01-01T04:30:00+01:00",10460.647
"2022-01-01T04:45:00+01:00",10356.039
"2022-01-01T05:00:00+01:00",10512.852
"2022-01-01T05:15:00+01:00",10530.459
"2022-01-01T05:30:00+01:00",10335.156
"2022-01-01T05:45:00+01:00",10481.857
"2022-01-01T06:00:00+01:00",10581.107
"2022-01-01T06:15:00+01:00",10805.022
"2022-01-01T06:30:00+01:00",10912.386
"2022-01-01T06:45:00+01:00",10922.698
"2022-01-01T07:00:00+01:00",10562.285
"2022-01-01T07:15:00+01:00",10739.800
"2022-01-01T07:30:00+01:00",10778.559
"2022-01-01T07:45:00+01:00",10888.183
"2022-01-01T08:00:00+01:00",11054.566
"2022-01-01T08:15:00+01:00",11004.197
"2022-01-01T08:30:00+01:00",11104.592
"2022-01-01T08:45:00+01:00",11137.516
"2022-01-01T09:00:00+01:00",11174.822
"2022-01-01T09:15:00+01:00",11291.203
"2022-01-01T09:30:00+01:00",11491.772
"2022-01-01T09:45:00+01:00",11448.934
"2022-01-01T10:00:00+01:00",11551.209
"2022-01-01T10:15:00+01:00",11684.303
"2022-01-01T10:30:00+01:00",11769.988
"2022-01-01T10:45:00+01:00",12077.766
"2022-01-01T11:00:00+01:00",12119.564
"2022-01-01T11:15:00+01:00",12252.417
"2022-01-01T11:30:00+01:00",12425.128
"2022-01-01T11:45:00+01:00",12524.971
"2022-01-01T12:00:00+01:00",12580.914
"2022-01-01T12:15:00+01:00",12671.550
"2022-01-01T12:30:00+01:00",12644.782
"2022-01-01T12:45:00+01:00",12705.630
"2022-01-01T13:00:00+01:00",12513.906
"2022-01-01T13:15:00+01:00",12625.963
"2022-01-01T13:30:00+01:00",12530.195
"2022-01-01T13:45:00+01:00",12530.679
"2022-01-01T14:00:00+01:00",12491.689
"2022-01-01T14:15:00+01:00",12368.974
"2022-01-01T14:30:00+01:00",12217.708
"2022-01-01T14:45:00+01:00",12214.179
"2022-01-01T15:00:00+01:00",12190.059
"2022-01-01T15:15:00+01:00",12143.953
"2022-01-01T15:30:00+01:00",12260.178
